Comment,Designator,Footprint,LCSC,Quantity
100k,R14,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
1k,R13,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
100k,R12,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
1k,R11,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
0.1uF,C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
0.1uF,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
C,C1,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
Conn_01x04_Pin,PWR3,PinHeader_1x04_P1.27mm_Vertical,,1
Conn_01x03_Pin,SW_C1,PinHeader_1x03_P1.27mm_Vertical,,1
Conn_01x10_Pin,DD1,PinSocket_1x10_P1.27mm_Vertical,,1
Conn_01x04_Pin,PWR4,PinHeader_1x04_P1.27mm_Vertical,,1
Conn_01x03_Pin,SW_C2,PinHeader_1x03_P1.27mm_Vertical,,1
Conn_01x01_Socket,J4,MountingHole_2mm,,1
GS-S2011AB,U3,GS-2011AB,,1
Conn_01x04_Pin,CA1,PinHeader_1x04_P1.27mm_Vertical,,1
GS-S2011AB,U5,GS-2011AB,,1
SW_Push,SW2,Button_12x12x7.3,,1
Conn_01x10_Pin,DD2,PinSocket_1x10_P1.27mm_Vertical,,1
7Seg 2Dig 0.56in,U2,7Seg 0.56In Double,,1
SW_Push,SW1,Button_12x12x7.3,,1
Buzzer,BZ1,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,,1
Conn_01x04_Pin,PWR1,PinHeader_1x04_P1.27mm_Vertical,,1
Conn_01x04_Pin,CA2,PinHeader_1x04_P1.27mm_Vertical,,1
Conn_01x01_Socket,J1,MountingHole_2mm,,1
Conn_01x01_Socket,J5,MountingHole_2mm,,1
Conn_01x01_Socket,J3,MountingHole_2mm,,1
Conn_01x01_Socket,J2,MountingHole_2mm,,1
Conn_01x01_Socket,J6,MountingHole_2mm,,1
7Seg 2Dig 0.56in,U4,7Seg 0.56In Double,,1
Conn_01x04_Pin,PWR2,PinHeader_1x04_P1.27mm_Vertical,,1
SolderJumper_3_Open,PWRQ2,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,,1
10K,R6,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
10K,R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
100k,R9,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
SolderJumper_3_Open,PWR_S1,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,,1
10K,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
AO3401A,Q6,SOT-23,,1
SolderJumper_3_Open,PWRQ3,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,,1
AO3401A,Q4,SOT-23,,1
10K,R5,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
10K,R7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
10K,R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
AO3401A,Q2,SOT-23,,1
D,D1,D_SOD-323_HandSoldering,,1
SolderJumper_3_Open,PWRQ1,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,,1
200,R8,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
1k,R10,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
AO3400A,Q7,SOT-23,,1
AO3400A,Q3,SOT-23,,1
AO3400A,Q5,SOT-23,,1
AO3400A,Q1,SOT-23,,1
TLC5940PWP,U1,HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP3.4x9.5mm_Mask2.4x6.17mm_ThermalVias,,1
651,R4,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
